CALLS,,,,,"Expires Mar 24, 2023",,,PUTS,,,,
LAST,CHG,BID,ASK,VOL,OPEN INT.,STRIKE,LAST,CHG,BID,ASK,VOL,OPEN INT.
153.95,0,164.65,164.95,0,7,20,0.01,0,0,0.01,0,123
159.9,0,159.65,160,4,,25,0,0,0,0.01,0,
154.95,12.5,154.65,154.95,3,4,30,0.01,0,0,0.01,0,11
141,0,149.65,149.95,0,7,35,0.02,0,0,0.01,0,1
0,0,144.65,144.95,0,,40,0,0,0,0.01,0,
130,0,139.7,140,0,3,45,0.08,0,0,0.01,0,1
132,3.11,134.7,135,4,82,50,0.01,0,0,0.01,0,"1,557"
145.95,0,129.7,130,0,4,55,0.01,0,0,0.01,0,41
115.5,0,124.7,125,0,2,60,0.01,0,0,0.01,3,115
116.35,0,119.7,120,0,4,65,0.02,0,0,0.01,0,266
0,0,114.7,115,0,,70,0.01,0,0,0.01,0,196
98.67,0,109.7,110.05,0,1,75,0.02,0.01,0,0.01,10,207
103.98,5.33,104.75,105,7,6,80,0.01,-0.01,0,0.01,9,772
115.35,0,99.75,100.05,0,4,85,0.01,-0.01,0,0.01,11,238
104.45,0,94.75,95.05,0,4,90,0.02,0.01,0,0.01,2,598
0,0,89.75,90.05,0,,95,0.02,0,0.01,0.02,18,167
80.5,0.3,84.75,85.1,1,73,100,0.02,0,0.01,0.02,103,"1,749"
76.83,5.53,79.75,80.1,24,27,105,0.01,-0.03,0.01,0.02,36,"1,057"
70.45,-1.19,74.8,75.1,35,42,110,0.02,-0.02,0.01,0.03,110,"1,759"
0,0,73.8,74.1,0,,111,0,0,0.01,0.03,0,32
0,0,72.8,73.1,0,,112,0,0,0.02,0.03,0,173
0,0,71.8,72.1,0,,113,0.02,-0.05,0.02,0.03,3,540
0,0,70.8,71.1,0,2,114,0.02,-0.03,0.02,0.03,3,96
62.44,-2.55,69.8,70.1,1,75,115,0.02,-0.03,0.02,0.03,54,"1,298"
61.36,-3.91,68.8,69.1,2,9,116,0.04,-0.02,0.02,0.03,2,250
67.52,3.37,67.8,68.1,1,2,117,0.04,-0.01,0.02,0.04,11,298
62.3,0,66.8,67.1,1,,118,0.03,-0.04,0.03,0.04,11,315
61.1,0,65.8,66.1,1,1,119,0.04,-0.04,0.03,0.04,3,196
59.5,-2.53,64.8,65.1,2,101,120,0.03,-0.03,0.03,0.04,137,"2,357"
0,0,63.85,64.1,0,2,121,0.04,-0.03,0.03,0.04,37,68
58.45,5.9,62.85,63.1,2,1,122,0.04,-0.04,0.04,0.05,68,52
0,0,61.85,62.05,0,22,123,0.05,-0.03,0.04,0.05,169,141
0,0,60.85,61.1,0,1,124,0.07,-0.04,0.04,0.05,51,45
58.75,5.07,59.85,60.1,13,202,125,0.04,-0.03,0.04,0.05,335,"3,547"
54.1,-1.15,58.85,59.1,12,13,126,0.05,-0.05,0.04,0.06,13,17
57.35,2.05,57.85,58.1,3,7,127,0.06,-0.11,0.05,0.06,5,140
0,0,56.85,57.1,0,1,128,0.05,-0.07,0.05,0.06,7,34
52.8,0,55.85,56.1,1,1,129,0.07,-0.05,0.05,0.07,211,120
55.1,4.72,54.85,55.1,25,286,130,0.07,-0.07,0.06,0.07,560,"1,901"
49.6,7.25,53.85,54.1,2,7,131,0.09,-0.04,0.07,0.08,13,382
48.6,7.65,52.85,53.1,4,5,132,0.08,-0.07,0.07,0.08,12,75
48.85,9.25,51.9,52.15,1,6,133,0.08,-0.1,0.07,0.08,23,939
0,0,50.9,51.15,0,7,134,0.07,-0.12,0.08,0.09,12,415
49.09,6.15,49.9,50.15,9,115,135,0.08,-0.09,0.08,0.09,419,"1,951"
47.15,4.21,48.9,49.1,1,33,136,0.1,-0.11,0.09,0.1,94,292
40.79,4.94,47.9,48.2,15,17,137,0.17,-0.03,0.09,0.11,151,315
41.5,-1.75,46.9,47.15,1,402,138,0.12,-0.08,0.1,0.11,"2,428",584
42.95,7.2,45.9,46.2,1,26,139,0.11,-0.11,0.11,0.12,12,116
43.7,3.52,44.95,45.15,9,178,140,0.13,-0.14,0.12,0.13,945,"3,142"
42.69,5.77,43.95,44.2,1,86,141,0.14,-0.16,0.13,0.14,84,140
40.25,1.35,42.95,43.2,6,20,142,0.14,-0.14,0.14,0.15,194,574
39.25,2.75,41.95,42.25,2,60,143,0.14,-0.19,0.15,0.16,31,193
41.47,5.37,40.95,41.25,1,33,144,0.16,-0.22,0.16,0.17,175,579
39.1,3.5,40,40.3,2,283,145,0.19,-0.2,0.17,0.19,389,"4,421"
38.9,2.77,39,39.25,2,50,146,0.18,-0.3,0.19,0.2,303,462
36.74,2.99,38,38.3,5,98,147,0.23,-0.2,0.2,0.22,100,837
36.35,4.05,37.05,37.3,1,144,148,0.22,-0.34,0.22,0.23,55,954
35.6,3.75,36.05,36.3,11,352,149,0.25,-0.32,0.24,0.25,173,849
34.6,3.77,35.1,35.3,58,532,150,0.28,-0.31,0.26,0.28,"3,715","9,998"
29.27,1.02,32.65,32.9,48,175,152.5,0.32,-0.42,0.33,0.34,288,"1,238"
29.7,3.58,30.25,30.5,69,"1,095",155,0.4,-0.54,0.41,0.43,"1,815","3,361"
28.15,4.45,27.85,28.15,9,291,157.5,0.52,-0.66,0.53,0.54,920,"2,900"
25.36,4.16,25.55,25.8,244,"1,042",160,0.69,-0.77,0.68,0.69,"6,387","6,536"
23.45,3.65,23.25,23.5,135,672,162.5,0.88,-0.89,0.87,0.89,"1,334","3,318"
21.26,4.06,21,21.2,159,"1,002",165,1.13,-1.12,1.12,1.14,"3,013","5,434"
18.58,2.53,18.8,19.05,50,"1,467",167.5,1.44,-1.29,1.44,1.46,"2,679","2,471"
17.2,3.8,16.7,16.95,550,"2,752",170,1.86,-1.34,1.83,1.85,"5,785","8,543"
13.98,2.08,14.7,14.9,872,"2,182",172.5,2.32,-1.89,2.32,2.34,"2,084","4,653"
12.6,2.1,12.8,13,"3,128","4,754",175,2.92,-2.08,2.91,2.94,"8,458","5,299"
11.4,2.36,11.1,11.2,"2,739","2,920",177.5,3.67,-2.38,3.6,3.65,"4,601","3,511"
9.41,1.78,9.45,9.5,"14,017","9,307",180,4.51,-2.49,4.45,4.5,"10,172","7,129"
8,1.65,7.9,8,"7,669","4,310",182.5,5.48,-2.87,5.45,5.5,"3,926","4,288"
6.6,1.3,6.55,6.65,"14,965","8,212",185,6.7,-2.96,6.55,6.65,"3,964","8,506"
"Current price as of Mar 16, 2023 1:10 p.m.",,,,,,185.26,,,,,,
5.4,1.1,5.35,5.45,"3,382","2,470",187.5,8.05,-3.5,7.85,7.95,"2,419","1,911"
4.4,0.95,4.3,4.4,"12,160","8,881",190,9.1,-3.9,9.3,9.4,946,"4,949"
3.5,0.8,3.4,3.5,"2,292","2,521",192.5,11.05,-4.05,10.9,11.05,362,872
2.68,0.58,2.7,2.73,"6,726","5,489",195,12.6,-4.65,12.65,12.85,563,"2,084"
2.14,0.44,2.09,2.12,"2,440","3,762",197.5,14.51,-4.53,14.55,14.75,183,470
1.62,0.31,1.61,1.63,"24,748","13,725",200,16.33,-5.32,16.55,16.8,363,"2,070"
1.25,0.24,1.23,1.25,"1,635","2,535",202.5,19.3,-4.2,18.7,18.9,188,"1,177"
0.94,0.16,0.94,0.95,"3,026","4,300",205,21.6,-3.8,20.9,21.15,77,746
0.75,0.15,0.71,0.73,"1,189","1,623",207.5,22.95,-4.79,23.1,23.4,63,"3,030"
0.56,0.1,0.55,0.56,"2,584","7,282",210,25.3,-5.1,25.45,25.75,168,"1,585"
0.43,0.08,0.42,0.43,475,"1,310",212.5,29.05,-5.85,27.9,28.15,12,867
0.36,0.08,0.33,0.34,826,"2,745",215,30.8,-6.85,30.25,30.55,17,564
0.26,0.03,0.26,0.27,886,"1,322",217.5,32.5,-5.2,32.75,33,2,120
0.22,0.05,0.21,0.22,"1,281","4,345",220,36.75,-2.45,35.2,35.45,4,782
0.19,0.05,0.17,0.18,168,"1,197",222.5,39.16,-3.09,37.65,37.9,6,80
0.14,0.02,0.14,0.15,"1,687","3,273",225,44.85,1.32,39.95,40.55,4,202
0.12,0.02,0.12,0.13,28,434,227.5,47.35,0.63,42.4,43.05,11,11
0.11,0.02,0.1,0.11,"3,808","4,963",230,52.5,-3.75,44.9,45.55,2,164
0.07,0.02,0.07,0.09,232,"2,603",235,50.3,-19.7,49.9,50.5,1,196
0.06,0.01,0.05,0.07,195,"1,456",240,65.58,0,54.9,55.5,0,131
0.04,-0.01,0.04,0.05,238,"1,464",245,59.7,-5.65,59.9,60.5,2,2
0.03,-0.01,0.03,0.04,305,"3,290",250,76.63,0,64.9,65.5,0,1
0.03,0,0.03,0.04,161,"1,437",255,72.54,0,69.9,70.5,0,27
0.03,0.01,0.02,0.03,78,826,260,86.28,0,74.9,75.5,0,2
0.02,0,0.02,0.03,100,794,265,70.75,0,79.85,80.5,0,5
0.02,0.01,0.01,0.02,125,"1,170",270,79.9,0,84.9,85.5,0,40
0.02,0.01,0.01,0.02,1,"1,295",275,90.03,-4.77,89.85,90.5,1,1
0.01,-0.01,0.01,0.02,2,"2,310",280,99,0,94.9,95.5,0,2
0.02,0.01,0.01,0.02,1,847,285,88.35,0,99.85,100.5,0,3
0.01,0,0.01,0.02,51,682,290,97.54,0,104.85,105.5,0,1
0.01,-0.01,0,0.01,19,"1,152",295,109.9,-7.9,109.85,110.5,9,3
0.01,0,0,0.01,90,"2,697",300,120.5,15.5,114.85,115.5,4,2
0.01,0,0,0.01,0,470,310,130.3,-6.31,124.85,125.5,3,2
0.01,0,0,0.01,1,784,320,143.25,0,134.9,135.5,0,
0.01,0,0,0.01,10,252,330,125,0,144.9,145.5,0,1
0.01,0,0,0.01,24,447,340,0,0,154.9,155.5,0,
0.01,0,0,0.01,0,842,350,148.43,0,164.9,165.5,0,
0.01,0,0,0.01,32,"2,307",360,158.5,0,174.9,175.5,0,1
